longitude,latitude,Planting Site Width,Planting Site Length,Genus,Species,Common Name,Diameter,Tree Height,Canopy Height
-75.3019380828,40.0572885202,,,Fraxinus,pennsylvanica,Green ash,18,,
-75.310155269,40.0255511637,,,Quercus,palustris,Pin oak,29,,
-75.2628503824,39.9921033627,,,,,,,,
-75.253365047,40.0007182966,,,Quercus,palustris,Pin oak,26,,
-75.2455829261,40.0056570673,,,Quercus,palustris,Pin oak,27,,
-75.2708178511,39.9985992712,,,,,,,,
-75.2395725596,40.0135783024,,,Fraxinus,pennsylvanica,Green ash,4,,
-75.2567323515,40.0281994312,,,,,,,,
-75.2511402398,40.0008789288,,,Quercus,palustris,Pin oak,39,,
-75.2748937804,40.0016144136,,,,,,,,
-75.2768621629,40.0166864622,,,,,,,,
-75.2481778802,40.0291584192,,,,,,,,
-75.2767493592,40.0143411014,,,,,,,,
-75.2665261057,39.9989525578,,,,,,,,
-75.2428872368,40.015673604,,,Prunus,subhirtella,Higan cherry,6,,
-75.2820866449,39.9956712184,,,Quercus,palustris,Pin oak,40,,
-75.2640482183,40.0235656297,,,Quercus,palustris,Pin oak,12,,
-75.2770397302,40.0549092563,,,,,,,,
-75.2764811517,40.0543295383,,,,,,,,
-75.2658223919,40.0140254878,,,Quercus,palustris,Pin oak,25,,
-75.2873914969,40.0244892988,,,,,,,,
-75.3047472725,40.0578975059,,,,,,,,
-75.3046691399,40.0578556268,,,,,,,,
-75.2796970423,40.0261361909,,,Juniperus,virginiana,Eastern red cedar,9,,
-75.274706692,40.0550167079,,,,,,0,,
-75.2763325496,40.0121896632,,,,,,,,
-75.3227710009,40.0453168774,,,,,,,,
-75.2793206174,40.0022229481,,,,,,,,
-75.3066552125,40.0546354477,,,,,,,,
-75.303397598,40.051313001,,,,,,,,
-75.260954422,40.0155649888,,,,,,,,
-75.3017900449,40.0262002569,,,,,,,,
-75.3377086244,40.0578224016,,,,,,,,
-75.2476285166,40.0061116858,,,,,,,,
-75.3350888117,40.0447966086,,,,,,,,
-75.2609916321,40.022628316,,,Maclura,pomifera,Osage orange,16,,
-75.2879805809,40.0113908499,,,,,,,,
-75.2573036002,40.0218859406,,,,,,,,
-75.3056487036,40.0490649342,,,,,,,,
-75.32137045,40.0532322958,,,,,,,,
-75.29686114,40.0204679598,,,Taxus,spp,Yew,20,,
-75.2782796444,40.0128095251,5,5,Chamaecyparis,obtusa,Hinoki false cypress,3,,
-75.3421344681,40.0488836217,,,,,,,,
-75.3365326047,40.03665523,,,,,,,,
-75.2307297776,39.9205018884,,,,,,,,
-75.152629798,39.9172049337,,,Fraxinus,pennsylvanica,Green ash,15.5,,
-75.328289766,40.0381892811,,,,,,,,
-75.2941054099,40.0489490669,,,Fraxinus,pennsylvanica,Green ash,15,,
-75.1577332664,39.934702141,,,Fraxinus,pennsylvanica,Green ash,,,
-75.2070593802,39.9588107438,,,Fraxinus,pennsylvanica,Green ash,,,
-75.1578836715,39.9290244149,,,Quercus,palustris,Pin oak,,,
-75.2970262931,40.0130535942,4,4,,,,,,
-75.2410019741,40.0037463496,,,Quercus,palustris,Pin oak,33,,
-75.2826381474,40.0505626361,,,,,,,,
-75.3070739067,40.0588982614,,,,,,,,
-75.2275218689,40.0106092519,,,Taxus,spp,Yew,5,,
-75.2749637676,40.0548606114,,,Taxus,spp,Yew,6,,
-75.2487110743,40.0025014711,3,3,,,,,,
-75.290339178,40.016628425,,,,,,,,
-75.2417693052,40.0063758948,4,4,,,,,,
-75.3108025463,40.0483045263,,,Fraxinus,pennsylvanica,Green ash,20,,
-75.2351538346,40.0074965912,7,7,,,,,,
-75.2358118251,40.0083715321,5,5,,,,,,
-75.2991845397,40.0185607477,,,Prunus,subhirtella,Higan cherry,3,,
-75.3412948537,40.0496660659,,,,,,,,
-75.2993603304,40.0290951376,,,Taxus,spp,Yew,4,,
-75.2874018565,40.0045452543,,,,,,,,
-75.1624896037,39.9259611384,,,,,,,,
-75.2482666685,40.0054396912,,,,,,,,
-75.1717177288,39.9312450386,,,,,,,,
-75.1717139632,39.9317300842,,,,,,,,
-75.1750516098,39.9709108994,2,2,,,,1.5,8,
-75.2358833033,39.9998136456,,,Platanus,occidentalis,American sycamore,48,,
-75.1311564461,39.9789475008,3,3,Prunus,subhirtella,Higan cherry,,,
-75.182945,39.94601,,,,,,,,
-75.176269,39.946789,,,,,,,,
-75.1560809153,39.9230159121,,,,,,,,
-75.1558892798,39.9229157598,,,,,,,,
-75.1460579067,39.997334681,,,,,,,,
-75.2930766326,40.0378879151,,,,,,,,
-75.3326326886,40.0512672026,,,,,,,,
-75.2886103685,40.0476542292,,,,,,,,
-75.2847780121,40.0450674412,,,,,,,,
-75.1751353,39.9557855,4,4,,,,14,43,15
-75.1745828,39.9561854,2,2,,,,5,30,8
-75.2401347379,40.0059734849,3,3,,,,,,
-75.1533980566,39.9572241171,,,Platanus,occidentalis,American sycamore,,,
-75.1550925972,39.9571935995,,,Platanus,occidentalis,American sycamore,,,
-75.1752837542,39.9577273084,,,Quercus,palustris,Pin oak,,,
-75.172973439,39.9598336884,,,Platanus,occidentalis,American sycamore,,,
-75.1515380837,39.9558980144,,,Platanus,occidentalis,American sycamore,,,
-75.1678051854,39.9497395234,,,Quercus,palustris,Pin oak,,,
-75.1664286602,39.9512131226,,,Quercus,palustris,Pin oak,,,
-75.1670496036,39.9512189095,,,Quercus,palustris,Pin oak,,,
-75.1459343577,39.9486996654,,,Platanus,occidentalis,American sycamore,,,
-75.1455640552,39.9486510016,,,Platanus,occidentalis,American sycamore,,,
-75.1576334736,39.9461824668,,,Quercus,palustris,Pin oak,,,
-75.1607660842,39.9431297758,,,Quercus,palustris,Pin oak,,,
-75.1563442755,39.9424578748,,,Quercus,palustris,Pin oak,,,
-75.156292408,39.9464650722,,,Quercus,palustris,Pin oak,,,
-75.1530224741,39.944120491,,,Platanus,occidentalis,American sycamore,,,
-75.1522420026,39.9780105651,,,,,,,,
-75.2175622579,39.9500690734,,,Prunus,subhirtella,Higan cherry,,,
-75.1723884453,39.920195453,,,,,,0,,
-75.1523157352,39.9180502917,,,Fraxinus,pennsylvanica,Green ash,15.75,,
-75.3172470576,40.0194523213,,,,,,,,
-75.2799003999,40.008718344,4,4,,,,,,
-75.3099177773,40.0207434182,5,5,,,,,,
-75.2701206499,40.0153991224,4,4,,,,,,
-75.2427432157,40.0089853394,6,6,,,,,,
-75.234390365,40.010484773,4,4,,,,,,
-75.3264558678,40.0291684468,10,10,,,,,,
-75.2605240048,40.0161658899,,,,,,,,
-75.2362809141,40.0085347157,4,4,,,,,,
-75.2330944827,40.0154434679,5,5,,,,,,
-75.3005025519,40.0065391095,4,4,,,,,,
-75.2386734351,40.017791511,4,4,,,,,,
-75.2710169775,40.0151826604,4,4,,,,,,
-75.2704281234,40.0153236069,4,4,,,,,,
-75.3084096746,40.0227500842,7,7,,,,,,
-75.3147038016,40.0236315631,6,6,,,,,,
-75.2390867287,40.0059907985,6,6,,,,,,
-75.2384249714,40.006623132,3,3,,,,,,
-75.3009507336,40.010295353,3,3,,,,,,
-75.3283176683,40.0489670435,,,,,,,,
-75.2791822265,40.0446409788,,,,,,,,
-75.2765210147,39.9846308869,,,,,,,,
-75.2359709545,40.0144687797,,,,,,,,
-75.2575620038,40.0327451287,,,,,,,,
-75.2746627632,39.9889725181,,,,,,,,
-75.3300002718,40.0449751661,,,,,,,,
-75.2561074052,40.0317850322,,,,,,,,
-75.290918363,40.0026028212,,,,,,,,
-75.2506858098,40.0248148645,,,,,,,,
-75.2357079199,40.0158241182,,,,,,,,
-75.308429076,40.05286492,,,,,,,,
-75.3322150869,40.0409435922,,,,,,,,
-75.3068224307,40.0170541044,,,,,,,,
-75.2601956913,40.0458939066,,,,,,,,
-75.2822253759,40.0473650547,,,,,,,,
-75.2530447134,40.0254104243,,,,,,,,
-75.2815478326,40.0518801013,,,,,,,,
-75.244982778,40.0208805898,,,,,,,,
-75.3087862183,40.0211565121,,,,,,,,
-75.3101144795,40.0225991594,,,,,,,,
-75.2803570794,40.0454515185,,,,,,,,
-75.2810730649,40.0461876207,,,,,,,,
-75.2295337613,40.0130747114,,,,,,,,
-75.2505141937,40.017237645,,,,,,,,
-75.3119304688,40.0243918548,,,,,,,,
-75.2614715379,40.0174274202,,,,,,,,
-75.2390306409,40.0118377006,,,,,,,,
-75.2695365666,39.9997393882,,,,,,,,
-75.2373245509,40.0106397825,,,,,,,,
-75.2732812627,39.9998590708,12,12,,,,,,
-75.3366107411,40.0484817085,,,,,,,,
-75.2828768686,40.0580523799,,,,,,,,
-75.3282308724,40.0282429965,,,,,,,,
-75.3283311413,40.0283742005,,,,,,,,
-75.3293209496,40.029791799,,,,,,,,
-75.2831498446,40.0133691469,,,,,,,,
-75.2833174562,40.0134651149,,,,,,,,
-75.2654482318,40.0137547433,,,,,,,,
-75.2600303996,39.990761381,,,,,,,,
-75.2639214947,40.0179283036,,,,,,,,
-75.332544972,40.0352022983,,,,,,,,
-75.2843865428,39.9938697496,,,,,,,,
-75.3433810646,40.0553242075,,,,,,,,
-75.2537672384,40.0194767025,,,,,,,,
-75.3377092538,40.0466113552,,,,,,,,
-75.3238018278,40.0385743125,,,,,,,,
-75.3428192431,40.047553772,,,,,,,,
-75.2941056497,40.0548626389,,,,,,,,
-75.2917893585,40.0552286153,,,,,,,,
-75.3380776811,40.049701672,,,,,,,,
-75.335323782,40.0481311667,,,,,,,,
-75.2940047778,40.0505035323,,,,,,,,
-75.2350310114,40.0073305456,7,7,,,,,,
-75.2831926082,40.0438893598,,,,,,,,
-75.2584358657,39.9954654057,3,3,,,,,,
-75.2988370717,40.012837967,,,,,,,,
-75.3107505554,40.025417012,7,7,,,,,,
-75.3240886587,40.0261035612,4,4,,,,,,
-75.2405040622,39.9947270769,6,6,,,,,,
-75.2427886353,40.0094297575,5,5,,,,,,
-75.3204393845,40.0253312534,7,7,,,,,,
-75.3185590708,40.0244954469,7,7,,,,,,
-75.2738201623,40.0020896296,2,2,,,,,,
-75.3072864051,40.0211463025,5,5,,,,,,
-75.3276780154,40.0319947431,10,10,,,,,,
-75.3134089887,40.0241345329,7,7,,,,,,
-75.2294702646,39.9999339979,4,4,,,,,,
-75.3368150776,40.0531283941,25,25,,,,,,
-75.2409331027,40.0064549525,4,4,,,,,,
-75.2854275258,40.0123131101,4,4,,,,,,
-75.3222171972,40.0267102416,,,,,,,,
-75.2480793232,40.0169079479,,,,,,,,
-75.2807431163,39.9907453052,,,,,,,,
-75.2978275617,40.0641320611,,,,,,,,
-75.272625302,39.9787966912,,,,,,,,
-75.2732769417,39.9934537745,,,,,,,,
-75.236741373,39.9978622243,,,,,,,,
-75.2608737611,39.9941583278,,,,,,,,
-75.2605106512,39.9935214195,,,,,,,,
-75.2513337757,40.0104045294,,,,,,,,
-75.2675482829,39.9930989063,,,,,,,,
-75.2653316224,40.0300202703,,,,,,,,
-75.2453203643,39.9966702456,,,,,,,,
-75.29076641,40.0010997105,,,,,,,,
-75.243017687,40.0220095415,,,,,,,,
-75.3285379016,40.0403384603,,,,,,,,
